,Cresco Labs,KFC Ltd (3420),Белуга Групп ПАО (BELU)
0,4.37,1.462,2.759
1,4.31,1.51,2.798
2,4.29,1.501,2.807
3,4.45,1.518,2.812
4,4.42,1.544,2.809
5,4.14,1.532,2.82
6,4.15,1.52,2.8
7,4.41,1.511,2.819
8,4.61,1.505,2.807
9,4.59,1.508,2.776
10,4.71,1.519,2.772
11,4.86,1.528,2.703
12,4.62,1.533,2.707
13,4.48,1.539,2.713
14,4.27,1.553,2.686
15,4.26,1.56,2.697
16,4.26,1.56,2.709
17,4.21,1.56,2.765
18,4.32,1.555,2.711
19,4.74,1.565,2.69
20,4.35,1.566,2.68
21,3.67,1.578,2.674
22,3.64,1.58,2.727
23,3.79,1.589,2.67
24,3.8,1.599,2.551
25,3.52,1.6,2.478
26,3.57,1.602,2.603
27,3.33,1.612,2.662
28,3.56,1.621,2.547
29,3.67,1.625,2.628
30,4.08,1.629,2.8
31,4.2,1.629,2.788
32,4.19,1.63,2.791
33,4.26,1.632,3.033
34,4.44,1.635,3.01
35,4.46,1.64,3.023
36,4.44,1.637,3.021
37,4.43,1.647,2.991
38,4.77,1.649,3.023
39,4.96,1.65,2.999
40,4.93,1.651,2.975
41,5.04,1.657,2.937
42,5.18,1.653,2.921
43,5.43,1.66,3.017
44,5.28,1.651,3.038
45,5.4,1.652,3.0
46,5.47,1.653,2.993
47,5.51,1.665,2.926
48,5.16,1.652,2.858
49,5.17,1.656,2.808
50,4.92,1.661,2.788
51,4.5600000000000005,1.655,2.69
52,4.66,1.651,2.657
53,4.86,1.661,2.653
54,5.04,1.662,2.582
55,4.7,1.679,2.6
56,4.8100000000000005,1.665,2.634
57,4.46,1.653,2.657
58,4.45,1.651,2.618
59,4.65,1.653,2.482
60,4.51,1.654,2.465
61,4.58,1.657,2.494
62,4.52,1.66,2.46
63,4.54,1.66,2.457
64,4.45,1.676,2.43
65,4.53,1.7,2.492
66,4.43,1.716,2.505
67,4.37,1.736,2.444
68,4.57,1.735,2.481
69,4.55,1.744,2.496
